X,Wynik_przyblizony,Blad_wzgledny
1.047128548e-20,1,0
1.071519305e-20,1,0
1.096478196e-20,1,0
1.122018454e-20,1,0
1.148153621e-20,1,0
1.174897555e-20,1,0
1.202264435e-20,1,0
1.230268771e-20,1,0
1.258925412e-20,1,0
1.288249552e-20,1,0
1.318256739e-20,1,0
1.348962883e-20,1,0
1.380384265e-20,1,0
1.412537545e-20,1,0
1.445439771e-20,1,0
1.479108388e-20,1,0
1.513561248e-20,1,0
1.548816619e-20,1,0
1.584893192e-20,1,0
1.621810097e-20,1,0
1.659586907e-20,1,0
1.698243652e-20,1,0
1.737800829e-20,1,0
1.77827941e-20,1,0
1.819700859e-20,1,0
1.862087137e-20,1,0
1.905460718e-20,1,0
1.9498446e-20,1,0
1.995262315e-20,1,0
2.041737945e-20,1,0
2.089296131e-20,1,0
2.13796209e-20,1,0
2.187761624e-20,1,0
2.238721139e-20,1,0
2.290867653e-20,1,0
2.344228815e-20,1,0
2.398832919e-20,1,0
2.454708916e-20,1,0
2.511886432e-20,1,0
2.570395783e-20,1,0
2.630267992e-20,1,0
2.691534804e-20,1,0
2.754228703e-20,1,0
2.818382931e-20,1,0
2.884031503e-20,1,0
2.951209227e-20,1,0
3.01995172e-20,1,0
3.090295433e-20,1,0
3.16227766e-20,1,0
3.235936569e-20,1,0
3.311311215e-20,1,0
3.388441561e-20,1,0
3.467368505e-20,1,0
3.548133892e-20,1,0
3.630780548e-20,1,0
3.715352291e-20,1,0
3.801893963e-20,1,0
3.89045145e-20,1,0
3.981071706e-20,1,0
4.073802778e-20,1,0
4.168693835e-20,1,0
4.265795188e-20,1,0
4.365158322e-20,1,0
4.466835922e-20,1,0
4.570881896e-20,1,0
4.677351413e-20,1,0
4.786300923e-20,1,0
